customer_id,customer_name,city,city_tier,age_group,gender,acquisition_channel,membership_tier,registration_date,preferred_slot,phone_number
CUST00001,Girish Ghosh,Jaipur,Tier 2,46-60,Male,Organic,None,2021-11-27,Afternoon 10-2 PM,9669462919
CUST00002,Bhuvan Chatterjee,Jaipur,Tier 2,26-35,Male,Paid Ads,Gold,2022-09-22,Late Night 8-11 PM,9709194872
CUST00003,Deepa Srivastava,Jaipur,Tier 2,26-35,Male,Referral,None,2021-09-20,Evening 4-8 PM,9277303722
CUST00004,Dhruv Pandey,Bengaluru,Tier 1,60+,Female,Referral,Platinum,2022-10-01,Evening 4-8 PM,9500957212
CUST00005,Vidya Shukla,Delhi,Tier 1,18-25,Male,Paid Ads,None,2022-04-17,Afternoon 10-2 PM,
CUST00006,Ayesha Shah,Hyderabad,Tier 1,18-25,Male,Paid Ads,None,2022-07-25,Afternoon 10-2 PM,9242068763
CUST00007,Zoya Khurana,Pune,Tier 2,26-35,Female,Influencer,None,2021-07-18,Morning 6-10 AM,9541417711
CUST00008,Uma Mehta,Delhi,Tier 1,36-45,Other,Organic,None,2022-11-26,Afternoon 10-2 PM,9305718272
CUST00009,Soham Iyer,Mumbai,Tier 1,26-35,Male,Organic,None,2023-06-27,Late Night 8-11 PM,9205128697
CUST00010,Vishal Shetty,Mumbai,Tier 1,18-25,Male,Referral,None,2023-04-13,Morning 6-10 AM,9530613729
CUST00011,Kritika Roy,Jaipur,Tier 2,18-25,Male,Offline,None,2022-08-08,Evening 4-8 PM,9941128035
CUST00012,Sachin Rathore,Delhi,Tier 1,26-35,Male,Offline,None,2021-05-05,Afternoon 10-2 PM,
CUST00013,Urvi Kamath,Delhi,Tier 1,36-45,Male,Paid Ads,None,2021-05-21,Evening 4-8 PM,9352548261
CUST00014,Zara Malhotra,Bengaluru,Tier 1,36-45,Male,Organic,Gold,2023-12-07,Evening 4-8 PM,9819112790
CUST00015,Nikhil Kapoor,Hyderabad,Tier 1,26-35,Female,Organic,Silver,2021-05-29,Morning 6-10 AM,9704509817
CUST00016,Chetan Agarwal,Lucknow,Tier 2,26-35,Male,Offline,None,2022-05-16,Evening 4-8 PM,9995226828
CUST00017,Rajan Bhatia,Delhi,Tier 1,60+,Female,Paid Ads,None,2022-09-06,Evening 4-8 PM,9244193987
CUST00018,Farhan Tripathi,Bengaluru,Tier 1,36-45,Male,Referral,None,2022-02-21,Evening 4-8 PM,9642678844
CUST00019,Aryan Singh,Delhi,Tier 1,36-45,Female,Organic,None,2021-09-25,Morning 6-10 AM,9895890631
CUST00020,Rashmi Pandey,Delhi,Tier 1,36-45,Male,Offline,None,2021-11-02,Evening 4-8 PM,9725464884
CUST00021,Simran Iyer,Delhi,Tier 1,18-25,Male,Offline,None,2021-03-23,Late Night 8-11 PM,9367930513
CUST00022,Sagar Choudhary,Hyderabad,Tier 1,36-45,Female,Offline,None,2022-04-30,Evening 4-8 PM,9970559510
CUST00023,Shreya Verma,Mumbai,Tier 1,26-35,Female,Referral,Gold,2022-05-24,Afternoon 10-2 PM,9216066793
CUST00024,Ananya Kamath,Bengaluru,Tier 1,26-35,,Influencer,Gold,2022-04-12,Morning 6-10 AM,9527849588
CUST00025,Bhavya Choudhary,Bengaluru,Tier 1,26-35,Female,Paid Ads,None,2022-11-10,Late Night 8-11 PM,9380477683
CUST00026,Pankaj Patel,Mumbai,Tier 1,18-25,Male,Referral,Silver,2023-11-14,Morning 6-10 AM,9304095531
CUST00027,Rashmi Pandey,Bengaluru,Tier 1,18-25,Female,Paid Ads,Gold,2022-02-08,Evening 4-8 PM,
CUST00028,Rekha Bhatia,Hyderabad,Tier 1,26-35,Female,Referral,None,2022-09-26,Morning 6-10 AM,9848621833
CUST00029,Ishaan Pillai,Bengaluru,Tier 1,26-35,Female,Referral,Gold,2022-09-09,Late Night 8-11 PM,9426283245
CUST00030,Simran Nayak,Bengaluru,Tier 1,36-45,Female,Paid Ads,Platinum,2022-03-14,Afternoon 10-2 PM,9954725078
CUST00031,Keerthi Singh,Pune,Tier 2,26-35,,Referral,None,2022-04-27,Morning 6-10 AM,9313814138
CUST00032,Arjun Malhotra,Mumbai,Tier 1,60+,Female,Referral,None,2022-02-03,Afternoon 10-2 PM,9529123992
CUST00033,Jhanvi Anand,Bengaluru,Tier 1,18-25,Female,Referral,Gold,2023-05-21,Morning 6-10 AM,9847229579
CUST00034,Aryan Bajaj,Delhi,Tier 1,26-35,,Paid Ads,None,2023-12-24,Evening 4-8 PM,9910943524
CUST00035,Ekta Hegde,Ahmedabad,Tier 2,36-45,Male,Influencer,None,2021-11-22,Afternoon 10-2 PM,9378304807
CUST00036,Hansika Bose,Pune,Tier 2,36-45,Female,Referral,None,2021-06-08,Morning 6-10 AM,9460613550
CUST00037,Vishal Singh,Bengaluru,Tier 1,18-25,Male,Referral,Platinum,2021-05-12,Evening 4-8 PM,9600282414
CUST00038,Mohan Shetty,Bengaluru,Tier 1,26-35,,Referral,Platinum,2023-02-19,Evening 4-8 PM,9420632895
CUST00039,Shubham Agarwal,Pune,Tier 2,36-45,Female,Referral,Gold,2022-03-26,Morning 6-10 AM,9517532243
CUST00040,Mihir Naidu,Bengaluru,Tier 1,26-35,Male,Paid Ads,Silver,2023-12-30,Morning 6-10 AM,9706011277
CUST00041,Deepa Sethi,Hyderabad,Tier 1,26-35,Female,Organic,Silver,2022-11-02,Morning 6-10 AM,9917364173
CUST00042,Prachi Yadav,Ahmedabad,Tier 2,60+,,Influencer,None,2021-04-17,Afternoon 10-2 PM,9798086909
CUST00043,Jhanvi Patel,Mumbai,Tier 1,36-45,Female,Organic,Gold,2021-11-09,Morning 6-10 AM,9222824732
CUST00044,Namrata Dubey,Delhi,Tier 1,36-45,Female,Organic,None,2021-08-23,Evening 4-8 PM,9433975497
CUST00045,Anika Ghosh,Mumbai,Tier 1,36-45,Female,Paid Ads,Silver,2022-02-11,Late Night 8-11 PM,9773496394
CUST00046,Payal Choudhary,Bengaluru,Tier 1,26-35,Female,Influencer,Gold,2021-03-26,Evening 4-8 PM,9497897455
CUST00047,Imran Mukherjee,Mumbai,Tier 1,18-25,Male,Paid Ads,None,2023-01-12,Afternoon 10-2 PM,9859466878
CUST00048,Kunal Srivastava,Mumbai,Tier 1,26-35,Female,Referral,Platinum,2023-09-18,Late Night 8-11 PM,9736164778
CUST00049,Nisha Shetty,Bengaluru,Tier 1,46-60,Male,Paid Ads,Gold,2023-02-16,Evening 4-8 PM,9448981305
CUST00050,Namrata Banerjee,Mumbai,Tier 1,36-45,Male,Influencer,None,2022-07-20,Evening 4-8 PM,9305145276
CUST00051,Tanmay Tiwari,Mumbai,Tier 1,26-35,Female,Referral,Platinum,2023-10-03,Evening 4-8 PM,
CUST00052,Seema Anand,Bengaluru,Tier 1,26-35,Female,Paid Ads,Gold,2022-12-06,Afternoon 10-2 PM,9455184454
CUST00053,Sonali Bose,Bengaluru,Tier 1,26-35,Male,Referral,Silver,2022-01-15,Morning 6-10 AM,9396889215
CUST00054,Vikram Arora,Pune,Tier 2,26-35,Male,Organic,Platinum,2022-01-03,Morning 6-10 AM,9235917419
CUST00055,Aryan Bajaj,Bengaluru,Tier 1,26-35,Female,Referral,None,2021-07-30,Evening 4-8 PM,9604011128
CUST00056,Rohit Kumar,Delhi,Tier 1,60+,Male,Influencer,Platinum,2021-05-14,Morning 6-10 AM,
CUST00057,Aryan Rao,Hyderabad,Tier 1,18-25,Female,Paid Ads,None,2021-08-31,Late Night 8-11 PM,9740086326
CUST00058,Neel Choudhary,Pune,Tier 2,26-35,Male,Paid Ads,Platinum,2023-05-29,Evening 4-8 PM,9754586204
CUST00059,Diya Yadav,Lucknow,Tier 2,26-35,Male,Referral,None,2021-12-22,Morning 6-10 AM,9538642403
CUST00060,Bhuvan Chauhan,Delhi,Tier 1,26-35,Male,Referral,Silver,2023-07-19,Evening 4-8 PM,9384063364
CUST00061,Girish Kohli,Pune,Tier 2,36-45,Female,Paid Ads,None,2021-11-02,Afternoon 10-2 PM,9176675731
CUST00062,Rajesh Arora,Mumbai,Tier 1,36-45,Female,Organic,None,2022-09-15,Morning 6-10 AM,9637377910
CUST00063,Sneha Singh,Delhi,Tier 1,36-45,Female,Referral,Silver,2021-02-22,Evening 4-8 PM,9997603725
CUST00064,Amrita Verma,Ahmedabad,Tier 2,60+,Female,Organic,None,2021-12-25,Morning 6-10 AM,9398668350
CUST00065,Aditya Pandey,Mumbai,Tier 1,36-45,Male,Organic,Gold,2022-11-14,Morning 6-10 AM,9272684373
CUST00066,Omkar Rathore,Bengaluru,Tier 1,26-35,Female,Influencer,Silver,2023-07-21,Afternoon 10-2 PM,9224469868
CUST00067,Seema Gowda,Lucknow,Tier 2,26-35,Other,Referral,Silver,2023-04-27,Afternoon 10-2 PM,9768548027
CUST00068,Girish Shukla,Pune,Tier 2,36-45,Male,Paid Ads,None,2023-06-17,Late Night 8-11 PM,9130998324
CUST00069,Dhruv Naidu,Lucknow,Tier 2,26-35,Male,Paid Ads,Gold,2021-07-10,Afternoon 10-2 PM,9221827951
CUST00070,Harini Sethi,Delhi,Tier 1,46-60,Male,Referral,Platinum,2022-07-14,Afternoon 10-2 PM,9607042130
CUST00071,Vivek Rao,Bengaluru,Tier 1,26-35,Female,Paid Ads,Gold,2021-05-23,Evening 4-8 PM,9545541033
CUST00072,Urvi Bose,Bengaluru,Tier 1,46-60,Male,Organic,None,2023-09-30,Afternoon 10-2 PM,9620057604
CUST00073,Vivek Yadav,Bengaluru,Tier 1,36-45,Male,Paid Ads,None,2022-05-05,Morning 6-10 AM,9932734539
CUST00074,Ramesh Tripathi,Bengaluru,Tier 1,26-35,Female,Paid Ads,Platinum,2021-11-08,Late Night 8-11 PM,
CUST00075,Amrita Mukherjee,Delhi,Tier 1,46-60,Female,Paid Ads,Silver,2023-07-25,Afternoon 10-2 PM,9803066091
CUST00076,Chetan Chauhan,Lucknow,Tier 2,36-45,Male,Referral,None,2021-06-14,Afternoon 10-2 PM,9672972597
CUST00077,Ramesh Chawla,Bengaluru,Tier 1,36-45,Female,Influencer,Gold,2021-05-21,Morning 6-10 AM,9408570854
CUST00078,Deepak Pandey,Lucknow,Tier 2,60+,Female,Referral,None,2021-12-07,Morning 6-10 AM,9149382425
CUST00079,Ayesha Das,Bengaluru,Tier 1,26-35,Male,Organic,Silver,2022-01-04,Afternoon 10-2 PM,
CUST00080,Faisal Oberoi,Ahmedabad,Tier 2,26-35,Female,Organic,None,2022-06-05,Afternoon 10-2 PM,9963968184
CUST00081,Priya Oberoi,Delhi,Tier 1,36-45,Male,Offline,None,2022-09-05,Late Night 8-11 PM,9368540924
CUST00082,Rajan Pillai,Delhi,Tier 1,60+,Female,Organic,None,2023-01-06,Afternoon 10-2 PM,9417001612
CUST00083,Keerthi Mishra,Mumbai,Tier 1,26-35,Female,Referral,None,2021-04-11,Evening 4-8 PM,9994253959
CUST00084,Priya Choudhary,Jaipur,Tier 2,36-45,Female,Paid Ads,None,2022-05-29,Evening 4-8 PM,9807790785
CUST00085,Ishita Chawla,Hyderabad,Tier 1,18-25,Female,Organic,None,2021-03-10,Evening 4-8 PM,9196779973
CUST00086,Ravi Tripathi,Jaipur,Tier 2,26-35,Male,Referral,None,2023-01-20,Evening 4-8 PM,9991713190
CUST00087,Tanvi Naidu,Mumbai,Tier 1,26-35,Female,Influencer,Silver,2021-06-04,Afternoon 10-2 PM,9826197069
CUST00088,Sarika Kamath,Pune,Tier 2,36-45,Male,Referral,None,2021-09-11,Morning 6-10 AM,9821920438
CUST00089,Sanjay Hegde,Bengaluru,Tier 1,36-45,Male,Referral,None,2022-11-03,Afternoon 10-2 PM,9167878777
CUST00090,Suresh Anand,Hyderabad,Tier 1,26-35,Male,Organic,None,2022-09-16,Late Night 8-11 PM,9352114611
CUST00091,Ishita Roy,Ahmedabad,Tier 2,26-35,Female,Referral,None,2023-05-09,Late Night 8-11 PM,9545478870
CUST00092,Tarun Bhatia,Hyderabad,Tier 1,26-35,Female,Organic,Platinum,2023-06-28,Afternoon 10-2 PM,9489431174
CUST00093,Nandini Sen,Mumbai,Tier 1,36-45,Other,Paid Ads,None,2022-01-24,Afternoon 10-2 PM,9984968439
CUST00094,Keerthi Menon,Delhi,Tier 1,36-45,Female,Organic,None,2022-05-14,Evening 4-8 PM,9320337809
CUST00095,Vivek Menon,Mumbai,Tier 1,36-45,Female,Organic,Gold,2021-01-06,Evening 4-8 PM,9239577989
CUST00096,Kunal Nair,Delhi,Tier 1,36-45,Male,Organic,None,2022-05-03,Evening 4-8 PM,
CUST00097,Ishaan Tripathi,Bengaluru,Tier 1,26-35,Male,Organic,Platinum,2023-01-12,Afternoon 10-2 PM,9640992677
CUST00098,Ekta Patel,Bengaluru,Tier 1,36-45,Female,Referral,Silver,2021-03-05,Morning 6-10 AM,9531233244
CUST00099,Farhan Rathore,Delhi,Tier 1,36-45,Male,Influencer,Silver,2021-10-31,Morning 6-10 AM,9779760958
CUST00100,Sachin Chatterjee,Delhi,Tier 1,26-35,Female,Organic,Silver,2023-06-01,Afternoon 10-2 PM,9802992685
CUST00101,Vivek Srivastava,Hyderabad,Tier 1,46-60,Male,Influencer,Platinum,2023-07-18,Afternoon 10-2 PM,9435596237
